"firstName22","lastName22","Thu Nov 11 00:00:00 IST 1993","10.0"
"firstName20","lastName20","Sat Nov 06 00:00:00 IST 1993","9.0"
"firstName18","lastName18","Sun Apr 10 00:00:00 IST 1994","6.0"
"firstName16","lastName16","Sat Oct 09 00:00:00 IST 1993","1.0"
"firstName14","lastName14","Sat Jul 11 00:00:00 IST 1992","8.0"
"firstName12","lastName12","Sun Jul 11 00:00:00 IST 1993","8.0"
"firstName10","lastName10","Sun Apr 02 00:00:00 IST 1995","10.0"
"firstName8","lastName8","Tue Aug 03 00:00:00 IST 1993","2.0"
"firstName7","lastName7","Mon Mar 06 00:00:00 IST 1995","2.0"
"firstName6","lastName6","Sat Oct 10 00:00:00 IST 1992","7.0"
"firstName5","lastName5","Fri Feb 12 00:00:00 IST 1993","10.0"
"firstName4","lastName4","Wed Sep 01 00:00:00 IST 1993","5.0"
"firstName3","lastName3","Sat Jan 01 00:00:00 IST 1994","5.0"
